Time (min),Flow Discharge (m3/s)
03-Jul-2025 00:00:01,0
03-Jul-2025 00:01:00,0
03-Jul-2025 00:06:00,0
03-Jul-2025 00:11:00,0
03-Jul-2025 00:16:01,0
03-Jul-2025 00:21:00,0
03-Jul-2025 00:26:01,0
03-Jul-2025 00:31:01,0
03-Jul-2025 00:36:01,0
03-Jul-2025 00:41:01,0
03-Jul-2025 00:46:00,0
03-Jul-2025 00:51:01,0
03-Jul-2025 00:56:01,0
03-Jul-2025 01:01:01,0
03-Jul-2025 01:06:00,0
03-Jul-2025 01:11:01,0
03-Jul-2025 01:16:01,0
03-Jul-2025 01:21:00,0
03-Jul-2025 01:26:01,0
03-Jul-2025 01:31:01,0
03-Jul-2025 01:36:00,0
03-Jul-2025 01:41:01,0
03-Jul-2025 01:46:01,0
03-Jul-2025 01:51:01,0
03-Jul-2025 01:56:01,0
03-Jul-2025 02:01:01,0
03-Jul-2025 02:06:01,0
03-Jul-2025 02:11:00,0
03-Jul-2025 02:16:00,0
03-Jul-2025 02:21:01,0
03-Jul-2025 02:26:01,0
03-Jul-2025 02:31:00,0
03-Jul-2025 02:36:00,0
03-Jul-2025 02:41:01,0
03-Jul-2025 02:46:00,0
03-Jul-2025 02:51:00,0
03-Jul-2025 02:56:00,0
03-Jul-2025 03:01:01,0
03-Jul-2025 03:06:00,0
03-Jul-2025 03:11:01,0
03-Jul-2025 03:16:00,0
03-Jul-2025 03:21:01,0
03-Jul-2025 03:26:00,0
03-Jul-2025 03:31:00,0
03-Jul-2025 03:36:00,0
03-Jul-2025 03:41:01,0
03-Jul-2025 03:46:01,0
03-Jul-2025 03:51:00,0
03-Jul-2025 03:56:01,0
03-Jul-2025 04:01:01,0
03-Jul-2025 04:06:01,0
03-Jul-2025 04:11:00,0
03-Jul-2025 04:16:01,0
03-Jul-2025 04:21:00,0
03-Jul-2025 04:26:00,0
03-Jul-2025 04:31:01,0
03-Jul-2025 04:36:00,0
03-Jul-2025 04:41:00,0
03-Jul-2025 04:46:01,0
03-Jul-2025 04:51:01,0
03-Jul-2025 04:56:01,0
03-Jul-2025 05:01:01,0
03-Jul-2025 05:06:01,3.4418632265969e-05
03-Jul-2025 05:11:00,0.000109131944291603
03-Jul-2025 05:16:01,0.000214017732775868
03-Jul-2025 05:21:00,0.000344614625619018
03-Jul-2025 05:26:00,0.000497965458174595
03-Jul-2025 05:31:01,0.00067178378282714
03-Jul-2025 05:36:01,0.000864208117074644
03-Jul-2025 05:41:01,0.001073579758588
03-Jul-2025 05:46:01,0.00129847903875995
03-Jul-2025 05:51:01,0.00153752733684467
03-Jul-2025 05:56:00,0.00178955875729852
03-Jul-2025 06:01:01,0.00205334666965592
03-Jul-2025 06:06:01,0.0020275927443886
03-Jul-2025 06:11:01,0.00200339128090053
03-Jul-2025 06:16:01,0.00198056004436068
03-Jul-2025 06:21:00,0.00195888309565981
03-Jul-2025 06:26:00,0.0019383728360411
03-Jul-2025 06:31:01,0.00191887084770739
